Timestamp,Cliente,Ambiente,Sección,Descripción,Tiempo (ms),Versión,Muestra,Comentarios
2025-10-30T12:36:22-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3896,V4.686,1,
2025-10-30T12:36:22-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,266791,V4.686,1,
2025-10-31T12:52:52-03:00,Petersen,Testing,Login,Login,3927,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3429,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1246,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1289,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,9595,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,15708,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8036,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2346,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,907,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4051,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2195,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,880,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,4025,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1926,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,80862,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1358,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2137,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3805,V4.686,2,
2025-10-31T12:52:52-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,241068,V4.686,2,
2025-10-31T14:39:41-03:00,Petersen,Testing,Login,Login,3548,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3513,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1258,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1262,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,9849,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,15208,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8254,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2304,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,938,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4139,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2218,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,843,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,3932,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1934,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,80745,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1430,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Límites,Eliminar el límite creado,1991,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3917,V4.686,3,
2025-10-31T14:39:41-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,241778,V4.686,3,
2025-10-31T14:56:29-03:00,Petersen,Testing,Login,Login,3529,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3324,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1290,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1272,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,9564,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,15489,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,8115,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2318,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,879,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4261,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2221,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,835,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,4061,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1941,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,81120,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1379,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2111,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,3917,V4.686,4,
2025-10-31T14:56:29-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,243847,V4.686,4,
